0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,88,6,146,0,8,0,0,0,0,0,0,241,0,242,0,242,25,241,5,242,0,0,255,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,255,255,255,255,255,255,255,0,0,5,0,0,186,214,117,246,219,242,0,3,0,0
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,88,2,146,0,4,0,0,0,0,0,0,241,0,242,0,242,25,241,5,242,4,0,255,0,224,68,0,0,0,124,0,116,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,5,0,0,186,214,117,246,219,242,0,0,3,0
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,82,6,146,0,2,0,0,0,0,0,0,241,0,242,0,242,25,241,5,242,6,0,255,0,222,66,0,0,0,122,0,118,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,4,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,82,4,154,0,2,1,0,0,0,0,0,241,0,242,0,242,25,241,5,242,8,0,255,0,220,64,0,0,0,120,0,120,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,4,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,106,6,140,0,2,3,0,0,0,0,0,241,0,242,0,242,25,241,5,242,12,0,255,0,216,64,0,0,0,116,0,124,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,3,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,122,3,123,0,6,5,0,0,0,0,0,241,0,242,0,242,25,241,5,242,15,0,255,0,213,64,0,0,0,113,0,127,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,3,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,140,6,106,0,2,6,0,0,0,0,0,241,0,242,0,242,25,241,5,242,18,0,255,0,210,64,0,0,0,110,0,130,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,2,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,152,4,94,0,6,7,0,0,0,0,0,241,0,242,0,242,25,241,5,242,20,0,255,0,208,64,0,0,0,108,0,132,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,2,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,168,1,76,0,8,8,0,0,0,0,0,241,0,242,0,242,25,241,5,242,23,0,255,0,205,64,0,0,0,105,0,135,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,2,0,0,186,214,117,246,219,242,0,0,0,3
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,184,4,60,0,6,9,0,0,0,0,0,241,0,242,0,242,25,241,5,242,26,0,255,0,202,64,0,0,0,102,0,138,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,1,0,0,186,214,117,246,219,242,0,0,3,0
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,172,2,56,0,6,10,0,0,0,0,0,241,0,242,0,242,25,241,5,242,28,0,255,0,200,64,0,0,0,100,0,140,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,1,0,0,186,214,117,246,219,242,0,0,3,0
63,63,63,63,63,63,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,192,192,192,192,192,192,255,255,255,255,255,255,255,255,255,255,255,255,255,240,0,0,255,0,0,240,0,5,0,0,6,0,70,182,134,198,22,38,54,70,150,4,75,0,8,12,0,0,0,0,0,241,0,242,0,242,25,241,5,242,32,0,255,0,196,64,0,0,0,96,0,144,0,1,0,1,0,0,8,0,255,255,255,255,255,255,255,0,0,0,0,0,186,214,117,246,219,242,0,0,3,0
